Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
84671,TEAC,LEDV2216FV,,"Fiji,New Zealand",China,54.687,1277.919504,LCD (LED),0.4,0.0,0.0,29.0,6.0,6.4075704877506,108.0,Approved,2114-09-29,,Single product class,Available,3.0,,http://www.teac.co.nz,3.41,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0206
84749,KOGAN,KALED32SMTZB,,"Australia,New Zealand",China,80.039,2736.6498,LCD (LED),0.47,0.0,0.0,38.45,,,164.0,Approved,2019-10-01,,Single product class,Available,4.0,http://www.konka.com/cn/Index.aspx,,4.00979111180703,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1091
84830,Dick Smith,GE6870,,Australia,China,46.973,944.79,LCD,0.28,0.0,0.0,20.9,,,82.0,Approved,2019-10-03,,Single product class,Available,3.5,,http://www.dse.com.au,3.8142425558266,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1099
84831,Dick Smith,GE6880,,Australia,China,138.265,8169.9,LCD,0.31,0.0,0.0,116.9,,,450.0,Approved,2019-10-04,,Single product class,Available,3.5,,http://www.dse.com.au,3.73520562338912,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1100
84841,Blaupunkt,BP2212MHDV,,Australia,China,54.687,1277.919504,LCD (LED),,,,20.1,,,76.0,Approved,2019-11-19,,Single product class,Available,4.5,http://www.bushaustralia.com.au/,http://www.blaupunkt-australia.com.au/,4.98114090986192,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,EPS,Digital,AS/NZS 62087.1:2010,ATV1175
84842,Blaupunkt,BP5040UHD,,Australia,China,125.731,6754.867344,LCD (LED),,,,96.1,,,353.0,Approved,2019-11-14,,Single product class,Available,4.0,http://www.bushaustralia.com.au/,http://www.blaupunkt-australia.com.au/,4.04437893467332,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1172
84908,SHARP,LC-40LE660X,,"Australia,Fiji,New Zealand",Malaysia,100.333,4262.2974,LCD (LED),0.38,17.54,0.5,61.79,,,231.0,Approved,2019-10-07,,Single product class,Available,4.0,http://www.sharp.net.au/,,4.12089314439498,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1104
84919,SAMSUNG ELECTRONICS,LH48EBDWLGU/XY,,"Australia,Fiji",Malaysia,120.888,6239.68,LCD (LED),0.3,0.0,0.0,60.0,,,221.0,Approved,2019-10-09,,Single product class,Available,5.5,,http://www.samsung.com.au,5.82214513789745,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Digital,,ATV1109
84967,SHARP,LC-50LE460X,,"Australia,Fiji,New Zealand",Malaysia,125.736,6767.1,LCD (LED),0.414,0.0,0.0,91.2,,,336.0,Approved,2019-10-10,,Single product class,Available,4.0,http://www.sharp.net.au/,,4.27291512353522,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1118
85075,Skyworth,42E510,42E510,"Australia,Fiji,New Zealand",China,106.474,4844.16,LCD (LED),0.57,0.0,0.0,67.53,,,275.0,Approved,2019-10-16,,Single product class,Available,3.5,,http://www.skyworth1988.com.au/,3.83639521888005,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1133
